County,Total_2012,Romney,Obama,romney_pct,obama_pct,Total_2016,Trump,Clinton,trump_pct,clinton_pct,gop_change,dallet_pct,screnock_pct,dem_change
Adams,10287,4644,5542,0.45144356955380577,0.5387382132788957,10130,5966,3745,0.588943731490622,0.3696939782823297,0.1375001619368162,49.74,50.26,0.12770602171767031
Ashland,8372,2820,5399,0.3368370759675107,0.6448877209746775,8032,3303,4226,0.4112300796812749,0.5261454183266933,0.07439300371376417,66.94,33.06,0.14325458167330674
Barron,22692,11443,10890,0.5042746342323285,0.47990481226864096,22671,13614,7889,0.6005028450443297,0.34797759251907723,0.09622821081200117,46.94,53.06,0.12142240748092276
Bayfield,9788,3603,6033,0.36810380057212916,0.6163669799754802,9612,4124,4953,0.42904702455264254,0.5152933832709113,0.060943223980513384,64.87,35.13,0.1334066167290887
Brown,128928,64836,62526,0.502885331347729,0.4849683544303797,129011,67210,53382,0.5209633287084047,0.4137786700358884,0.018077997360675724,55.12,44.88,0.1374213299641116
Buffalo,7039,3364,3570,0.4779087938627646,0.5071743145333144,6981,4048,2525,0.5798596189657642,0.36169603208709356,0.10195082510299963,47.07,52.93,0.10900396791290645
Burnett,8677,4550,3986,0.5243747839114902,0.4593753601475164,8738,5410,2949,0.6191348134584573,0.33749141680018313,0.09476002954696716,42.04,57.96,0.08290858319981687
Calumet,26420,14539,11489,0.5503028009084028,0.43485995457986376,26595,15367,9642,0.5778153788306073,0.3625493513818387,0.027512577922204517,48.86,51.14,0.1260506486181613
Chippewa,30932,15322,15237,0.4953446269235743,0.4925966636492952,31568,17916,11887,0.5675367460719716,0.3765522047643183,0.0721921191483973,51.03,48.97,0.1337477952356817
Clark,13801,7412,6172,0.5370625317006014,0.4472139700021738,13673,8652,4221,0.6327799312513713,0.30871059752797486,0.09571739955076997,46.94,53.06,0.16068940247202512
Columbia,30546,13026,17175,0.42643881359261443,0.5622667452366922,29698,14163,13528,0.47690080140076774,0.4555188901609536,0.05046198780815331,56.19,43.81,0.10638110983904636
Crawford,7817,3067,4629,0.39235000639631573,0.5921709095560956,7728,3836,3419,0.4963768115942029,0.44241718426501037,0.10402680519788715,58.38,41.62,0.14138281573498962
Dane,304181,83644,216071,0.27498101459328494,0.7103369375470526,309354,71275,217697,0.2303994776211072,0.7037148380172876,-0.04458153697217773,81,19,0.10628516198271243
Dodge,44488,25211,18762,0.5666921417011329,0.4217317029311275,43078,26635,13968,0.6182970425739357,0.32424903663122706,0.051604900872802784,42.96,57.04,0.10535096336877298
Door,17671,8121,9357,0.4595665214192745,0.5295116292230208,17592,8580,8014,0.4877216916780355,0.4555479763528877,0.028155170258760964,62.16,37.84,0.16605202364711225
Douglas,22894,7705,14863,0.3365510614134708,0.6492093998427536,22536,9661,11357,0.42869187078452253,0.5039492367767128,0.09214080937105174,62.54,37.46,0.12145076322328718
Dunn,21992,10224,11316,0.46489632593670427,0.5145507457257185,22106,11486,9034,0.5195874423233511,0.4086673301366145,0.05469111638664681,55.22,44.78,0.14353266986338553
Eau Claire,54806,23256,30666,0.42433310221508597,0.5595372769404809,55025,23331,27340,0.42400726942298955,0.4968650613357565,-3.2583279209641436e-4,63.88,36.12,0.14193493866424356
Florence,2625,1645,953,0.6266666666666667,0.36304761904761906,2656,1898,665,0.7146084337349398,0.2503765060240964,0.08794176706827306,37.1,62.9,0.1206234939759036
Fond Du Lac,53402,30355,22379,0.5684244035803903,0.4190667016216621,51796,31022,17387,0.5989265580353695,0.3356822920688856,0.03050215445497928,43.25,56.75,0.09681770793111438
Forest,4648,2172,2425,0.46729776247848537,0.5217297762478486,4545,2787,1579,0.6132013201320132,0.3474147414741474,0.14590355765352786,45.89,54.11,0.11148525852585262
Grant,24248,10255,13594,0.4229214780600462,0.5606235565819861,24368,12350,10051,0.506812212738017,0.4124671700590939,0.08389073467797081,54.52,45.48,0.13273282994090613
Green,19322,7857,11206,0.40663492392091916,0.5799606665976607,18985,8693,9122,0.4578878061627601,0.48048459309981567,0.051252882241840936,62.24,37.76,0.1419154069001844
Green Lake,9675,5782,3793,0.5976227390180878,0.39204134366925064,9416,6216,2693,0.6601529311809685,0.2860025488530161,0.0625301921628807,40.95,59.05,0.1234974511469839
Iowa,12534,4287,8105,0.34202967927237915,0.6466411361097814,12275,4809,6669,0.39177189409368635,0.5432993890020367,0.049742214821307196,66.28,33.72,0.11950061099796339
Iron,3632,1790,1784,0.49284140969163,0.4911894273127753,3513,2081,1275,0.592371192712781,0.3629376601195559,0.09952978302115106,48.73,51.27,0.12436233988044404
Jackson,9313,3900,5298,0.4187694620423065,0.5688822076667025,9267,4906,3818,0.5294054170713284,0.41199956836085033,0.1106359550290219,55.54,44.46,0.14340043163914967
Jefferson,44281,23517,20158,0.5310855671732797,0.4552291050337617,43109,23417,16569,0.5432044352687374,0.38435129555313274,0.012118868095457702,47.8,52.2,0.09364870444686724
Juneau,11827,5411,6242,0.45751247146360025,0.5277754291029001,11735,7130,4073,0.6075841499786963,0.34708138048572645,0.150071678515096,45.34,54.66,0.10631861951427357
Kenosha,80897,34977,44867,0.4323646117903012,0.5546188362980086,76304,36037,35799,0.47228192493185156,0.469162822394632,0.03991731314155034,56.77,43.23,0.09853717760536812
Kewaunee,11037,5747,5153,0.5207030896076833,0.4668841170607955,10767,6618,3627,0.6146558930064084,0.336862635831708,0.09395280339872514,49.28,50.72,0.15593736416829201
La Crosse,63462,25751,36693,0.4057703822760077,0.5781885222652926,63674,26378,32406,0.41426641957470867,0.5089361434808556,0.008496037298700965,66.96,33.04,0.1606638565191444
Lafayette,7952,3314,4536,0.4167505030181087,0.5704225352112676,7662,3977,3288,0.5190550770033934,0.4291307752545027,0.1023045739852847,54.6,45.4,0.11686922474549732
Langlade,10519,5816,4573,0.5529042684665842,0.43473714231390814,10186,6478,3250,0.6359709405065777,0.3190653838602003,0.0830666720399934,44.02,55.98,0.12113461613979976
Lincoln,15216,7455,7563,0.4899447949526814,0.49704258675078866,14712,8401,5371,0.5710304513322458,0.3650761283306145,0.08108565637956444,51.06,48.94,0.14552387166938557
Manitowoc,42617,21604,20403,0.5069338526878945,0.4787526104606143,40786,23244,14538,0.5699014367675183,0.3564458392585691,0.06296758407962377,50.38,49.62,0.14735416074143093
Marathon,69862,36617,32363,0.524133291345796,0.4632418195871862,69518,39014,26481,0.5612071693662073,0.38092292643631864,0.03707387802041129,50.44,49.56,0.12347707356368132
Marinette,20777,10619,9882,0.5110939981710545,0.4756220821100255,20343,13122,6409,0.6450376050729981,0.3150469448950499,0.13394360690194362,46.24,53.76,0.14735305510495011
Marquette,8105,3992,4014,0.49253547193090685,0.49524984577421344,7891,4709,2808,0.5967557977442656,0.35584843492586493,0.10422032581335872,43.82,56.18,0.0823515650741351
Menominee,1377,179,1191,0.1299927378358751,0.8649237472766884,1308,267,1002,0.20412844036697247,0.7660550458715596,0.07413570253109739,62.84,37.16,-0.13765504587155952
Milwaukee,492576,154924,332438,0.3145179627103229,0.674896868706555,441053,126069,288822,0.28583639607938277,0.654846469698653,-0.028681566630940125,65.76,34.24,0.0027535303013470624
Monroe,19485,9675,9515,0.49653579676674364,0.4883243520656916,19699,11356,7052,0.5764759632468653,0.35798771511244226,0.0799401664801217,49.31,50.69,0.13511228488755778
Oconto,19859,10741,8865,0.5408630847474697,0.4463970995518405,20206,13345,5940,0.6604473918638029,0.29397208749876275,0.11958430711633317,44.79,55.21,0.15392791250123727
Oneida,21652,10917,10452,0.5042028450027711,0.48272676888970995,21531,12132,8109,0.5634666295109377,0.3766197575588686,0.059263784508166606,52.55,47.45,0.14888024244113135
Outagamie,94596,47372,45659,0.5007822740919278,0.482673685990951,93933,49879,38068,0.5310061426761628,0.40526758434203103,0.03022386858423498,55.72,44.28,0.151932415657969
Ozaukee,55817,36077,19159,0.646344303706756,0.3432466811186556,54560,30464,20170,0.5583577712609971,0.36968475073313783,-0.08798653244575894,41.3,58.7,0.043315249266862144
Pepin,3699,1794,1876,0.48499594484995945,0.5071640984049743,3735,2206,1344,0.5906291834002677,0.3598393574297189,0.10563323855030826,50.86,49.14,0.14876064257028115
Pierce,21020,10397,10235,0.49462416745956234,0.4869172216936251,21376,11272,8399,0.5273203592814372,0.3929172904191617,0.03269619182187483,53.57,46.43,0.14278270958083839
Polk,22573,12094,10073,0.5357728259424976,0.44624108448146016,22745,13810,7565,0.6071664102000439,0.3326005715541877,0.07139358425754627,46.77,53.23,0.13509942844581235
Portage,39337,16615,22075,0.42237588021455624,0.5611765004957165,38589,17305,18529,0.4484438570577107,0.4801627406773951,0.026067976843154483,62.7,37.3,0.14683725932260489
Price,7901,3884,3887,0.49158334388052144,0.49196304265282875,7568,4559,2667,0.6024048625792812,0.35240486257928116,0.11082151869875972,47.23,52.77,0.11989513742071883
Racine,103364,49347,53008,0.477409929956271,0.5128284509113424,94302,46681,42641,0.49501601238573945,0.4521749273610316,0.017606082429468428,48.42,51.58,0.03202507263896842
Richland,8655,3573,4969,0.4128249566724437,0.57411900635470825,8069,4013,3569,0.4973354814723014,0.44231007559796753,0.08451052479985771,54.37,45.63,0.10138992440203243
Rock,80690,30517,49219,0.3782005205105961,0.6099764530920808,76074,31493,39339,0.41397849462365593,0.5171149144254279,0.03577797411305983,61.44,38.56,0.09728508557457205
Rusk,7191,3676,3397,0.5111945487414824,0.4723960506188291,7088,4564,2171,0.6439051918735892,0.3062923250564334,0.1327106431321068,44.34,55.66,0.13710767494356663
Sauk,31927,12838,18736,0.4021048015786012,0.5868387258433301,31357,14799,14690,0.4719520362279555,0.46847593838696305,0.06984723464935433,50.16,49.84,0.03312406161303688
Sawyer,9025,4442,4486,0.4921883656509695,0.49706371191135734,9137,5185,3503,0.5674729123344643,0.3833862318047499,0.07528454668349477,56.46,43.54,0.1812137681952501
Shawano,20279,11022,9e3,0.5435179249469895,0.44380886631490707,19810,12769,6068,0.6445734477536598,0.30630994447248866,0.1010555228066703,47.44,52.56,0.16809005552751133
Sheboygan,62651,34072,27918,0.5438380871813698,0.44561140285071266,59766,32514,23e3,0.5440216845698224,0.38483418666131247,1.835973884525277e-4,43.34,56.66,0.04856581333868759
St. Croix,46225,25503,19910,0.5517144402379665,0.4307193077339102,47508,26222,17482,0.5519491454070893,0.36798012966237265,2.3470516912282857e-4,45.08,54.92,0.08281987033762733
Taylor,9512,5601,3763,0.5888351555929352,0.395605550883095,9471,6579,2393,0.6946468165980361,0.252666033153838,0.10581166100510087,38.88,61.12,0.13613396684616202
Trempealeau,13481,5707,7605,0.42333654773384766,0.5641272902603665,13687,7366,5636,0.5381749104990137,0.41177759918170526,0.11483836276516601,56.32,43.68,0.15142240081829478
Vernon,14269,5942,8044,0.41642721984722125,0.5637395753031046,14275,7004,6371,0.4906479859894921,0.4463047285464098,0.07422076614227086,57.06,42.94,0.1242952714535902
Vilas,13842,7749,5951,0.5598179453836151,0.4299234214708857,13611,8166,4770,0.5999559180074939,0.3504518404231871,0.04013797262387886,46.48,53.52,0.11434815957681288
Walworth,52303,29006,22552,0.5545762193373229,0.4311798558400092,51391,28863,18710,0.5616353057928432,0.3640715300344418,0.007059086455520225,45.91,54.09,0.09502846996555814
Washburn,9287,4699,4447,0.5059760956175299,0.4788413911919888,9193,5436,3282,0.5913194822147286,0.35701076906341783,0.08534338659719876,46.61,53.39,0.10908923093658218
Washington,78742,54765,23166,0.6954992253181276,0.29420131568921287,76757,51740,20852,0.6740753286345219,0.27166251937934,-0.02142389668360567,30.69,69.31,0.03523748062066001
Waukesha,243856,162798,78779,0.6675989108326226,0.3230554097500164,237593,142543,79224,0.5999461263589415,0.3334441671261359,-0.06765278447368106,35.52,64.48,0.021755832873864123
Waupaca,25840,14002,11578,0.5418730650154798,0.44806501547987615,26095,16209,8451,0.621153477677716,0.32385514466372867,0.07928041266223618,47.64,52.36,0.15254485533627132
Waushara,12048,6562,5335,0.5446547144754316,0.4428120849933599,12074,7667,3791,0.6350008282259401,0.31398045386781515,0.0903461137505085,42.41,57.59,0.11011954613218483
Winnebago,89173,42122,45449,0.47236271068596997,0.5096722101981541,87135,43445,37047,0.4985941355368107,0.4251678430022379,0.026231424850840734,56.7,43.3,0.14183215699776214
Wood,38900,19704,18581,0.5065295629820051,0.4776606683804627,37818,21498,14225,0.5684594637474218,0.376143635305939,0.06192990076541671,52.16,47.84,0.14545636469406098
